"Numero de département","Numéro agrément/Approval number","SIRET","Raison SOCIALE - Enseigne commerciale/Name","Adresse/Adress","Code postal/Postal code","Commune/Town","Catégorie/Category","Activités associées/Associated activities","Espèce/Specy"
"28","28.280.028","41367490400029","COOK INOV","PARC D'ACTIVITES ZA DE L AUNAY","28400","NOGENT-LE-ROTROU","PP","IX(PP);VIII(PP)",""
"28","28.281.004","50489356100010","SUPERGEL 28","RTE D'ILLIERS","28120","NOGENT SUR EURE","PP","0(CS);0(RW);I(CP);II(CP);VIII(PP)",""
"28","28.293.003","53191849800019","FERME DE LA GARENNE","CHEMIN DE ROUVRES FERME DE LA GARENNE","28260","OULINS","PP","II(CP);II(SH)",""
"28","28.380.001","83902804000013","L'AUTHENTIQUE DU BOIS D'ARET"," LE BOIS D'ARET","28630","SOURS","PP","I(CP);VIII(PP);V(MP)",""
"28","28.424.001","82988882500017","CHARCUTERIE THIROUARD - CHARCUTERIE THIROUARD MOUSSU","PARC D'ACTIVITES 7 RUE DE LA GARENNE","28160","YEVRES","PP","I(CP)",""
"29","29.004.021","57202153300045","JEAN-PIERRE TALLEC-L'HERITAGE DU GOUT"," 59 RUE DE SCAER","29380","BANNALEC","PP","0(CS)",""
"29","29.004.023","57202153300052","JEAN-PIERRE TALLEC-L'HERITAGE DU GOUT"," KERANQUELVEN","29380","BANNALEC","PP","0(CS)",""
"29","29.019.020","53420758400010","CHARCUTERIE MARC"," 39 RUE ANATOLE FRANCE","29200","BREST","PP","0(CS)",""
"29","29.020.020","32728036800157","MARIE"," 340 AV DU PAYS GLAZIK","29510","BRIEC","PP","VIII(PP)",""
"29","29.023.518","53938322400018","LA CHIKOLODENN"," ZONE ARTISANALE DE KERINEC","29660","CARANTEC","PP","VIII(PP)",""
"29","29.024.004","88164126000016","STELA CAPA - LB COOKING"," ZAE DE KERVOASDOUE","29270","CARHAIX-PLOUGUER","PP","VIII(PP)",""
"29","29.024.020","34783686800047","SARL LE MANACH VIANDES"," ZAC DE LA VILLENEUVE","29270","CARHAIX-PLOUGUER","PP","VIII(PP)",""
"29","29.025.001","85300376200012","KIG A CAST"," 1 RUE KREISKER","29150","CAST","PP","0(RW);I(CP);V(MM);V(MP)",""
"29","29.027.022","48269808100023","SECRETS DE FAMILLE"," ZI KROAS LESNEVEN","29520","CHATEAUNEUF-DU-FAOU","PP","",""
"29","29.037.002","42943367500049","GRAINE DE BIO"," RTE DE PONT L'ABBE LIEUDIT CRUGU","29120","COMBRIT","PP","V(MP)",""
"29","29.039.020","34299705300026","NEPTUNE GASTRONOMIE"," ZI DU ROUDOUIC","29900","CONCARNEAU","PP","VIII(FFPP);VIII(PP)",""
"29","29.039.524","37858257100030","JB OCEANE","LA BOISSIERE RUE DE LA FORGE","29900","CONCARNEAU","PP","VIII(PP)",""
"29","29.040.020","88884264800014","KIG MOGED - FUMAISONS D'IROISE","BOX 2 5 RUE WINSTON CHURCHILL","29217","LE CONQUET","PP","",""
"29","29.041.001","50883969300019","BIOKERZEST"," KERZEST","29370","CORAY","PP","I(CP);V(MP)",""
"29","29.051.020","82933510800025","COMPAGNIE LAMPAULAISE DE SALAISON","1 RUE GALILEE SALLE VERTE","29500","ERGUE-GABERIC","PP","",""
"29","29.051.021","39946590500012","SARL PENNARUN LE BIHAN ET CIE"," KEROURVOIS","29500","ERGUE-GABERIC","PP","VIII(PP)",""
"29","29.058.020","30499204300048","TIPIAK PLATS CUISINES SURGELES"," ZA DE PARK C'HASTEL","29170","FOUESNANT","PP","VIII(PP)",""
"29","29.075.020","38529670200025","KERMAD - KERMAD SA"," RUE JULES JANSSEN","29490","GUIPAVAS","PP","VIII(PP)",""
"29","29.097.020","82933510800033","COMPAGNIE LAMPAULAISE DE SALAISON"," USINE DES PINS","29400","LAMPAUL-GUIMILIAU","PP","I(CP)",""
"29","29.106.020","37628038400011","GUYADER TRAITEUR FRAIS"," BOURG","29510","LANDREVARZEC","PP","VIII(PP)",""
"29","29.125.020","34211728000012","ANDRE LOUSSOUARN"," TY LOUET","29390","LEUHAN","PP","VIII(PP);V(MP)",""
"29","29.131.002","90130305700011","AU BIEN FAIT"," LE PONTIC","29400","LOCMELAR","PP","I(CP);V(MP)",""
"29","29.160.020","31820847700030","BREDIAL","ZAC DE PENHOAT RUE ANTOINE LAVOISIER","29860","PLABENNEC","PP","0(CS);VIII(PP)",""
