depInsee,dossApproNumConcatLb,etbSiret,etbLb,adrConcat,codePostalNb,comNomSimplifie,aggCatUe,aggActiviteAssocie,aggEspUe
91,91.027.008,33450476800014,STEF TRANSPORT PARIS ATHIS,ZONE DES GUYARDS CD 118 14 RUE HELENE BOUCHER ZONE DES GUYARDS CD 118,91200,ATHIS-MONS,CS,,
91,91.045.004,40161625500014,ILE DE FRANCE FRIGO,"CHE DEPARTEMENTAL 17 ",91610,BALLANCOURT-SUR-ESSONNE,CS,,
91,91.045.010,52783437800012,SUPERGEL 91,CHEMIN DEPARTEMENTAL N 17 RTE DE FONTENAY CHEMIN DEPARTEMENTAL N 17,91610,BALLANCOURT-SUR-ESSONNE,CS,,
91,91.086.008,31680701500193,SYSCO FRANCE SAS,LA MARINIERE 1 RUE DU CANAL LD CLOSEAUX LA MARINIERE,91070,BONDOUFLE,CS,,
91,91.086.018,37938476100068,STEF LOGISTIQUE BONDOUFLE - STEF,ZAC DE LA MARINIERE ZONE MARINIERE SUD 3 RUE DESIR PREVOST ZAC DE LA MARINIERE,91070,BONDOUFLE,CS,,
91,91.086.020,39775392200038,BG APPRO - BG APPRO - ROUGE ET TENDRE,ZAC DE LA MARINIERE 6 RUE DU CANAL ZAC DE LA MARINIERE,91070,BONDOUFLE,CS,I(CP);VI(PP);V(MP),
91,91.086.025,55200423600303,PATISFRANCE - PURATOS - PATISFRANCE PURATOS,ZAC DE LA MARINIERE 4 RUE DESIR PREVOST ZAC DE LA MARINIERE,91070,BONDOUFLE,CS,,
91,91.161.003,95420010100051,DISTRIBUTION ALIMENTAIRE PARISIENNE,ZI DU MOULIN A VENT RUE DES MARES JULIENNES ZI DU MOULIN A VENT,91380,CHILLY-MAZARIN,CS,,
91,91.161.004,55204499200964,POMONA,ZONE ARTISANALE DU MOULIN A VENT RUE DES MARES JULIENNES ZA DU MOULIN A VENT,91380,CHILLY-MAZARIN,CS,,
91,91.161.010,50159895700022,FRIGO TRANSPORTS 91,36 ROUTE DE LONGJUMEAU,91380,CHILLY-MAZARIN,CS,,
91,91.161.042,41040901500238,AUCHAN SUPERMARCHE,ENTREPOTS 1 RUE DENIS PAPIN ENTREPOTS,91380,CHILLY-MAZARIN,CS,,
91,91.161.043,58205650300052,SOC FRESCA,ZA DE LA BUTTE AU BERGER 29 RUE HELENE BOUCHER ZA DE LA BUTTE AU BERGER,91380,CHILLY-MAZARIN,CS,,
