etablissement,nom,commune,departement,n,n_marques,n_halal,ecart_median,sel_median,marque_dominante,part_dominante_pct,n_sans_dominante,ecart_sans_dominante,nom_ambigu
fr-67-180-007,BOUCHERIE CHARCUT ZENTZ SARL / CHARCUTERIE ZENTZ,HAGUENAU,67,12,3,0,0.0,2.3,zentz,75.0,3,,True
fr-62-767-005,HERTA / HERTA SAS,SAINT-POL-SUR-TERNOISE,62,131,3,0,0.0,1.93,herta,72.5,36,0.0,True
fr-63-427-001,BELL FRANCE - BELL FRANCE TEILHEDE,TEILHEDE,63,58,26,0,0.0,4.6,carrefour,17.2,48,0.0,False
fr-47-323-329,LOU TRAITEUR - BARRAL TRAITEUR DU SUD OUEST,VILLENEUVE-SUR-LOT,47,35,12,0,0.0,0.87,inconnue,20.0,28,0.0,False
fr-66-172-001,LES GOUTS DU SUD SAS,SAINT-ESTEVE,66,51,4,0,0.0,1.9,inconnue,51.0,25,0.0,False
fr-14-752-020,BROCELIANDE - ALH / COOPERL SALAISONS,VILLERS-BOCAGE,14,273,44,0,0.0,2.0,inconnue,29.3,193,-1.0,True
fr-18-033-033,ETABLISSEMENTS PUIGRENIER,BOURGES,18,11,5,1,0.0,0.17,monoprix,63.6,4,,False
fr-59-032-001,LE PATUREUR,AULNOY-LEZ-VALENCIENNES,59,11,2,0,0.0,1.5,le-patureur,90.9,1,,False
fr-56-225-001,KERMENE,SAINT-LERY,56,43,6,0,0.0,0.15,marque-repere,41.9,25,0.0,False
fr-25-357-050,AUX PRODUITS SAUGETS / AUX PRODUITS SAUGETS SARL,MAISONS-DU-BOIS-LIEVREMONT,25,33,3,0,0.0,1.76,inconnue,90.9,3,,True
fr-22-364-008,KERMENE,TRELIVAN,22,63,12,0,0.0,1.2,marque-repere,47.6,33,0.0,False
fr-24-439-004,DELMOND FOIES GRAS,BOULAZAC ISLE MANOIRE,24,11,3,0,0.0,0.63,inconnue,72.7,3,,False
fr-24-328-002,CCA PERIGORD LES BORIES DU PERIGORD - LES BORIES DU PERIGORD,PIEGUT-PLUVIERS,24,28,14,0,0.0,1.25,amaury,17.9,23,0.0,False
fr-29-020-020,MARIE,BRIEC,29,36,12,0,0.0,0.67,marie,44.4,20,0.0,False
fr-26-088-011,BERNARD ROYAL DAUPHINE / BERNARD ROYAL DAUPHINE SA,CHATUZANGE-LE-GOUBET,26,15,6,2,0.0,0.69,royal-bernard,40.0,9,,True
fr-62-865-007,FOODIZ CUISINE,VITRY-EN-ARTOIS,62,36,8,0,0.0,0.79,inconnue,27.8,26,-1.0,False
fr-85-086-001,GALLIANCE FALLERON,FALLERON,85,59,19,1,0.0,1.5,cora,15.3,50,1.0,False
fr-85-154-002,FLEURY MICHON LS,MOUILLERON-SAINT-GERMAIN,85,148,13,0,0.0,0.76,fleury-michon,79.1,31,0.0,False
fr-85-140-001,FLEURY MICHON LS,POUZAUGES,85,64,3,0,0.0,1.8,fleury-michon,96.9,2,,False
fr-56-261-001,GALLIANCE ELABORES,LA VRAIE-CROIX,56,82,16,0,0.0,1.19,pere-dodu,67.1,27,1.0,False
fr-57-032-001,CHARCU-PAC LES PROVINCES,ARS-SUR-MOSELLE,57,170,37,0,0.0,4.0,carrefour,22.4,132,1.0,False
fr-13-083-001,GROUPE BIGARD,ROGNONAS,13,33,9,0,0.0,1.3,bigard,48.5,17,0.0,False
fr-14-431-022,STEFANO TOSELLI / WHAT'S COOKING FRANCE,MEZIDON VALLEE D'AUGE,14,13,11,0,0.0,0.72,carrefour,15.4,11,0.0,True
