fichier,url,candidat_viande
SPA6_AGRUSINTRAC2.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA6_AGRUSINTRAC2.txt,False
SPA6_AGRUSINTRAC3.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA6_AGRUSINTRAC3.txt,False
SPA6_ENRCTRCOLLEC.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA6_ENRCTRCOLLEC.txt,False
SPA7_VM_APICOLE.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA7_VM_APICOLE.txt,False
SPA7_VS_AQU.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA7_VS_AQU.txt,False
SPA7_VS_AVI_GEN.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA7_VS_AVI_GEN.txt,False
SPA7_VS_CTR_CLL.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA7_VS_CTR_CLL.txt,False
SPA7_VS_CTR_STK.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA7_VS_CTR_STK.txt,False
SPA7_VS_DEP.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA7_VS_DEP.txt,False
SPA7_VS_POR_GEN.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA7_VS_POR_GEN.txt,False
SPA7_VS_STT_QUR.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA7_VS_STT_QUR.txt,False
SPA7_VS_VOL_OEUF.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA7_VS_VOL_OEUF.txt,False
SPA9_DERCERTBVVOL.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SPA9_DERCERTBVVOL.txt,False
SSA1_ACTIV_GEN.csv,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA1_ACTIV_GEN.csv,True
SSA1_ACTIV_GEN.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA1_ACTIV_GEN.txt,True
SSA1_ASPRDOELQD_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA1_ASPRDOELQD_PRV.txt,True
SSA1_DERO_CERT_PPA.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA1_DERO_CERT_PPA.txt,True
SSA1_ENTR_SORTIE_CARCA.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA1_ENTR_SORTIE_CARCA.txt,True
SSA1_GREN_ESCARG.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA1_GREN_ESCARG.txt,True
SSA1_LAIT.csv,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA1_LAIT.csv,True
SSA1_LAIT.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA1_LAIT.txt,True
SSA1_MGROS.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA1_MGROS.txt,True
SSA1_OEUF.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA1_OEUF.txt,True
SSA1_VIAND_HACHE_VSM.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA1_VIAND_HACHE_VSM.txt,True
SSA1_VIAN_COL_LAGO.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA1_VIAN_COL_LAGO.txt,True
SSA1_VIAN_GIB_ELEV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA1_VIAN_GIB_ELEV.txt,True
SSA1_VIAN_GIB_SAUV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA1_VIAN_GIB_SAUV.txt,True
SSA1_VIAN_ONG_DOM.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA1_VIAN_ONG_DOM.txt,True
SSA4B_AS_CE_PRODCOQUI_COV.csv,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4B_AS_CE_PRODCOQUI_COV.csv,True
SSA4B_AS_CE_PRODCOQUI_COV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4B_AS_CE_PRODCOQUI_COV.txt,True
SSA4B_AS_CE_PRODCOQUI_NAV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4B_AS_CE_PRODCOQUI_NAV.txt,True
SSA4B_AS_CE_PRODPECHE_COV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4B_AS_CE_PRODPECHE_COV.txt,True
SSA4B_AS_CE_PRODPECHE_NAV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4B_AS_CE_PRODPECHE_NAV.txt,True
SSA4_AGCOL72H_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGCOL72H_PRV.txt,True
SSA4_AGMATLOCTRAD_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGMATLOCTRAD_PRV.txt,True
SSA4_AGR_ESVEBO_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGR_ESVEBO_PRV.txt,True
SSA4_AGSANCOLL_PRV.csv,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANCOLL_PRV.csv,True
SSA4_AGSANCOLL_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANCOLL_PRV.txt,True
SSA4_AGSANEMBOE_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANEMBOE_PRV.txt,True
SSA4_AGSANENTR_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANENTR_PRV.txt,True
SSA4_AGSANGELAT_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANGELAT_PRV.txt,True
SSA4_AGSANGREXPR_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANGREXPR_PRV.txt,True
SSA4_AGSANLPL_PRV2.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANLPL_PRV2.txt,True
SSA4_AGSANLPL_PRV3.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANLPL_PRV3.txt,True
SSA4_AGSANOVOP_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANOVOP_PRV.txt,True
SSA4_AGSANPREVDE_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANPREVDE_PRV.txt,True
SSA4_AGSANPROBASEVDE_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANPROBASEVDE_PRV.txt,True
SSA4_AGSANVDEHACH_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGSANVDEHACH_PRV.txt,True
SSA4_AGUTIL60J_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AGUTIL60J_PRV.txt,True
SSA4_ASCCC_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_ASCCC_PRV.txt,True
SSA4_ASMANIPCGRC_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_ASMANIPCGRC_PRV.txt,True
SSA4_ASMANIPESCC_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_ASMANIPESCC_PRV.txt,True
SSA4_ASMANIPREC.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_ASMANIPREC.txt,True
SSA4_AUTETBGELAT_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AUTETBGELAT_PRV.txt,True
SSA4_AUTORVSM_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA4_AUTORVSM_PRV.txt,True
SSA5B_DERAGRESC_VAL2.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5B_DERAGRESC_VAL2.txt,True
SSA5B_DERAGRGRE_VAL2.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5B_DERAGRGRE_VAL2.txt,True
SSA5B_DERAGRPBOCL_VAL2.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5B_DERAGRPBOCL_VAL2.txt,True
SSA5B_DERAGRPNTP_VAL2.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5B_DERAGRPNTP_VAL2.txt,True
SSA5B_DERAGRPTP_VAL2.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5B_DERAGRPTP_VAL2.txt,True
SSA5B_FABPDTCMP.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5B_FABPDTCMP.txt,True
SSA5_DERAGRLTT_VAL2.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5_DERAGRLTT_VAL2.txt,True
SSA5_DERAGRPVB_VAL2.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5_DERAGRPVB_VAL2.txt,True
SSA5_DERAGRRRP_VAL2.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5_DERAGRRRP_VAL2.txt,True
SSA5_DERAGRVFB_VAL2.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5_DERAGRVFB_VAL2.txt,True
SSA5_DESOSVDEBOV_VAL.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5_DESOSVDEBOV_VAL.txt,True
SSA5_DETVDEBOVOS_VAL.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5_DETVDEBOVOS_VAL.txt,True
SSA5_DETVDEBOVOS_VAL17.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA5_DETVDEBOVOS_VAL17.txt,True
SSA6B_AGATTGGIBSVG_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGATTGGIBSVG_PRV.txt,True
SSA6B_AGSALABFRM_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSALABFRM_PRV.txt,True
SSA6B_AGSANABGIBELV_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANABGIBELV_PRV.txt,True
SSA6B_AGSANABONGD_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANABONGD_PRV.txt,True
SSA6B_AGSANABVOL_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANABVOL_PRV.txt,True
SSA6B_AGSANDCPBOU_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANDCPBOU_PRV.txt,True
SSA6B_AGSANDCPGIBEL_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANDCPGIBEL_PRV.txt,True
SSA6B_AGSANDCPGIBSVG_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANDCPGIBSVG_PRV.txt,True
SSA6B_AGSANDCPVOL_PRV.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA6B_AGSANDCPVOL_PRV.txt,True
SSA_PPA_AGR_MCA.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA_PPA_AGR_MCA.txt,True
SSA_PROD_RAFF.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/SSA_PROD_RAFF.txt,True
TRANSPOR_CARCA.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/TRANSPOR_CARCA.txt,False
USIFARPOISSG.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/USIFARPOISSG.txt,False
USINEPAT.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/USINEPAT.txt,False
USINESANG.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/USINESANG.txt,False
USINONRUME.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/USINONRUME.txt,False
USIPATINSECTEH.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/USIPATINSECTEH.txt,False
USIPATNONRUMF.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/USIPATNONRUMF.txt,False
liste.txt,https://fichiers-publics.agriculture.gouv.fr/dgal/ListesOfficielles/liste.txt,False
