agrement,nom,n_noms,commune,cp,n_siret,listes
16.096.001,DECOUPE CHARENTAISE,1,CHERVES-CHATELARS,16310,1,1
16.102.311,COULAUD-PENAUD,1,COGNAC,16100,1,1
16.106.001,MAINJOLLE,1,CONFOLENS,16500,1,1
16.106.002,ETABLISSEMENTS DEMONT,1,CONFOLENS,16500,1,2
16.106.003,ABATTOIR,1,CONFOLENS,16500,1,2
16.106.078,LA CONFOLENTAISE DES VIANDES,1,CONFOLENS,16500,1,3
16.119.001,ETABLISSEMENTS LAPIERRE-ODY,1,DIGNAC,16410,1,1
16.150.006,ETABLISSEMENTS LEGEAY,1,GENSAC-LA-PALLUE,16130,1,1
16.166.038,BANQUE ALIMENTAIRE ANGOULEME ET CHARENTE,1,L'ISLE-D'ESPAGNAC,16340,1,1
16.206.021,LES VOLAILLES MANSLOISES,1,MANSLE,16230,1,3
16.223.002,BERNARD LARAPIDIE,1,MONTBRON,16220,1,4
16.228.002,SICAIRE YVES,1,TROIS-PALIS,16730,1,1
16.230.004,SYSCO FRANCE SAS,1,MONTMOREAU,16190,1,1
16.242.012,EARL DE L'AUROCHS VERTS,1,NANTEUIL-EN-VALLEE,16700,1,2
16.254.002,SOC ABATTAGE ET COMMERCIALISATION LAFA,1,PALLUAUD,16390,1,2
16.287.003,ITM LOGISTIQUE ALIMENTAIRE INTERNATIONAL,1,ROULLET-SAINT-ESTEPHE,16440,1,1
16.287.020,THIRIET DISTRIBUTION,1,ROULLET-SAINT-ESTEPHE,16440,1,1
16.292.003,SAS LEVESQUES UNION FRANCE LIMOUSIN / SOCIETE JEAN LEVESQUES ET COMPAGNIE,2,RUFFEC,16700,1,3
16.292.020,CENTRA APPROVI CHARENT POITOU,1,RUFFEC,16700,1,1
16.292.033,SA MILLERET,1,RUFFEC,16700,1,2
16.308.001,JP CALLUAUD,1,SAINT-CLAUD,16450,1,1
16.347.001,LES FERMIERS GASTRONOMES,1,SAINT-ROMAIN,16210,1,3
16.374.064,SOCIETE RUELLOISE DES VIANDES,1,SOYAUX,16800,1,3
16.378.049,GAEC DES DEUX LOGIS,1,TAIZE-AIZIE,16700,1,2
17.028.002,EMMARY,1,AYTRE,17440,1,1
17.043.003,PARANCAY DESOSSE,1,BERNAY-SAINT-MARTIN,17330,1,2
17.057.001,EARL CABANE DE SILOP,1,BOUHET,17540,1,1
17.058.241,STEF TRANSPORT NIORT 2 LA CRECHE - TRADIMAR,1,BOURCEFRANC-LE-CHAPUS,17560,1,1
17.058.243,SARL FRANCHET,1,LIGNY-LE-RIBAULT,45240,1,1
17.058.245,FRIGO TRANSPORTS 17,1,BOURCEFRANC-LE-CHAPUS,17560,1,1
17.075.001,GORIOUX LUCA,1,CABARIOT,17430,1,1
17.104.002,EARL CHAVAL,1,CHEVANCEAUX,17210,1,3
17.105.001,JEAN CUISTOT TRAITEUR,1,CHIVES,17510,1,1
17.138.004,ADAC ABATTOIR DES ASSOCIES COOPERATEUR,1,DAMPIERRE-SUR-BOUTONNE,17470,1,1
17.166.001,AUNIS DECOUPE VIANDE,1,FORGES,17290,1,2
17.174.001,LABO DECOUPE VIANDE,1,GENOUILLE,17430,1,1
17.197.004,DELABLI,1,JONZAC,17500,1,1
17.222.043,L'AUTRUCHE DE LAURETTE,1,MARSILLY,17137,1,2
17.228.001,CARCED - PROMOCASH,1,MEDIS,17600,1,1
17.241.001,SOC EXPLOIT CENTRE ABATTAGE MONTGUYON,1,MONTGUYON,17270,1,1
17.241.002,ETS GAUTIER,1,MONTGUYON,17270,1,1
17.257.001,NEREVIA - VIANDE LOVER / VIANDE LOVER,2,NERE,17510,1,6
17.274.003,FC.CASH - PROMOCASH,1,PERIGNY,17180,1,1
17.274.008,METRO CASH & CARRY FRANCE / METRO FRANCE,2,PERIGNY,17180,1,2
17.274.012,LODIPAT-OCEAN,1,PERIGNY,17180,1,1
17.274.020,COMMUNE DE LA ROCHELLE - ENTREPOT - STOCKAGE,1,PERIGNY,17180,1,1
17.274.021,SAINT SAT PRIMEURS,1,PERIGNY,17180,1,1
17.283.002,SOCIETE RENAUD FRERES SA,1,PONS,17800,1,1
17.283.011,C.P.L.D. DISTRIBUTION,1,PONS,17800,1,1
17.296.001,C'EST CA QU'ON VEUT LA RETAUDAISE,1,RETAUD,17460,1,1
17.299.001,SAVEURS D'ANTOINE - PASSION SALAISONS LITTORAL,1,ROCHEFORT,17300,1,1
17.299.003,CARCED,1,ROCHEFORT,17300,1,1
17.299.009,GENERALE DE DISTRIBUTION ALIMENTAIRE,1,ROCHEFORT,17300,1,1
17.300.001,CAP MAREE ATLANTIQUE,1,LA ROCHELLE,17000,1,1
17.300.002,FROID LITTORAL,1,LA ROCHELLE,17000,1,1
17.300.008,AU TERROIR DES MERS,1,LA ROCHELLE,17000,1,1
17.300.012,FROID IN LINE,1,LA ROCHELLE,17000,1,1
17.300.013,B M S-MAREE,1,LA ROCHELLE,17000,1,1
17.300.026,FORO MAREE,1,LA ROCHELLE,17000,1,1
17.300.042,RICHARD GONZALES GEORGES MICHAUD,1,LA ROCHELLE,17000,1,1
17.300.052,SA VIVIERS RENAUD BOUTIN,1,LA ROCHELLE,17000,1,1
17.300.055,MAREE +,1,LA ROCHELLE,17000,1,1
17.300.071,MOULES ATLANTIQUE,1,LA ROCHELLE,17000,1,1
17.300.096,STEF TRANSPORT NIORT 2 LA CRECHE - TRADIMAR,1,LA ROCHELLE,17000,1,1
17.300.099,TRANSPORTS GUIFFANT,1,LA ROCHELLE,17000,1,1
17.300.105,ATLANTIQUE ALIMENTAIRE,1,LA ROCHELLE,17000,1,1
17.300.147,MERICQ,1,LA ROCHELLE,17000,1,1
17.300.185,F.S.G. COQUILLAGES,1,LA ROCHELLE,17000,1,1
17.300.187,VIVES EAUX,1,LA ROCHELLE,17000,1,1
17.306.016,LES DELICES DE L'OUEST - GROUPE GMD,1,SURGERES,17700,1,1
17.331.003,SCEA STURGEON - STURGEON,1,SAINT-GENIS-DE-SAINTONGE,17240,1,1
17.336.002,CLAS 2 CHARENTES,1,SAINT-GEORGES-DES-COTEAUX,17810,1,1
17.351.031,GAEC CHAGNEAUD,1,SAINT-JUST-LUZAC,17320,1,2
17.351.033,TAM DISTRIBUTION - MEGA FOOD DISTRIBUTION ET TAM DISTRIBUTION INTERNATIONNALE,1,LA BREE-LES-BAINS,17840,1,1
17.385.057,VILLA MARTHE,1,SAINT-PIERRE-D'OLERON,17310,1,1
17.396.001,SALAISON DES VALLONS D'AUNIS - SALAISON DES VALLONS,1,SAINT SAUVEUR D'AUNIS,17540,1,1
17.407.002,FRIGO TRANSPORTS 17,1,SAINTE-SOULLE,17220,1,1
17.409.001,SOC ROYANNAISE DE VIANDES & SALAISONS / SOCIETE ROYANNAISE DE VIANDES ET SALAISONS,2,SAINT-SULPICE-DE-ROYAN,17200,1,3
17.409.005,LE P'TIT SAINTONGEAIS,1,SAINT-SULPICE-DE-ROYAN,17200,1,1
17.409.008,GIRAUD BRUNO,1,SAINT-SULPICE-DE-ROYAN,17200,1,1
17.415.002,HAPI VIANDE / HAPI VIANDE - SAS HAPI VIANDE,2,SAINTES,17100,1,2
17.415.003,GUERIN LOGISTIQUE,1,SAINTES,17100,1,1
17.415.011,COOP ATLANTIQUE,1,SAINTES,17100,1,1
17.415.013,THIRIET DISTRIBUTION - MAISON THIRIET,1,SAINTES,17100,1,1
17.415.019,CARCED,1,SAINTES,17100,1,1
17.421.001,SAVEURS PAYSANNES CHARENTAISES,1,SAUJON,17600,1,1
17.421.007,LES FUMOIRS DE SAINTONGE,1,SAUJON,17600,1,1
17.429.002,SARL DU GRAND PARC,1,SOUBISE,17780,1,1
17.429.003,BRUNETEAU ERIC,1,SOUBISE,17780,1,3
17.434.001,SOC SURGERIENNE D'ABATTAGE,1,SURGERES,17700,1,1
17.434.005,S.I.B.C.A.S. / SOCIETE INTERPROFESSIONNELLE DES BOUCH / SOCIETE INTERPROFESSIONNELLE DES BOUCHERS ET CHARCUTIERS ABATTEURS A SURGERES,3,SURGERES,17700,1,5
17.434.017,MONSIEUR RITON,1,SURGERES,17700,1,1
17.447.001,AUX DELICES DE LANDRAIS,1,LE THOU,17290,1,1
17.452.181,STEF TRANSPORT NIORT 2 LA CRECHE - TRADIMAR,1,LA TREMBLADE,17390,1,1
17.452.183,FRIGO TRANSPORTS 17,1,LA TREMBLADE,17390,1,1
17.452.190,EXPRESS MAREE SA (PLATEFORME) -,1,LA TREMBLADE,17390,1,1
17.465.003,MILCO,1,LA VERGNE,17400,1,1
17.485.001,LES CONSERVES DUPUY,1,LE GRAND-VILLAGE-PLAGE,17370,1,1
18.003.003,ABATTOIR DE VOLAILLES DU BERRY,1,LES AIX-D'ANGILLON,18220,1,2
18.015.001,GUILMOT-GAUDAIS,1,AUBIGNY-SUR-NERE,18700,1,1
18.018.003,GUILMOT-GAUDAIS,1,AVORD,18520,1,1
18.030.001,LES VOLAILLES DE BLANCAFORT,1,BLANCAFORT,18410,1,3
