etablissement,n,n_marques,n_halal,ecart_median,marque_dominante,part_dominante_pct,ecart_sans_dominante,n_sans_dominante,regle_30
fr-47-159-001,16,3,0,1.0,maison-torres,87.5,,2,sous 30
fr-59-526-002,14,5,0,1.0,st-gery,28.6,1.0,10,sous 30
fr-57-032-001,170,36,0,1.0,carrefour,22.4,1.0,132,franchie
fr-72-264-002,719,44,0,1.0,le-gaulois,56.9,1.0,310,franchie
fr-57-160-001,17,1,0,1.0,charculor,82.4,,0,sous 30
fr-71-076-001,34,7,0,1.0,chambade,11.8,1.0,30,franchie
fr-72-090-007,43,6,0,1.0,maison-prunier,53.5,1.0,20,franchie
fr-88-160-450,12,1,2,1.0,progalor,8.3,,0,sous 30
fr-64-161-002,11,4,0,1.0,labeyrie,63.6,,4,sous 30
fr-87-001-001,61,22,0,1.0,arnaud,24.6,0.0,46,franchie
fr-85-233-001,47,18,0,1.0,maitre-coq,42.6,1.0,27,franchie
fr-65-375-001,50,21,0,1.0,jean-brunet,24.0,1.0,38,franchie
fr-88-465-001,14,1,0,1.0,au-fume-vosgien,85.7,,0,sous 30
fr-76-681-001,10,3,0,1.5,le-tonquay,10.0,,9,sous 30
fr-42-165-006,70,21,0,1.5,les-extra-fines-du-forez,14.3,1.5,60,franchie
fr-73-006-003,20,11,0,1.5,carrefour,20.0,2.0,16,sous 30
fr-88-470-033,14,2,0,1.5,pierrat,14.3,1.0,12,sous 30
fr-69-043-005,12,2,0,1.5,randy,83.3,,2,sous 30
fr-12-063-026,12,4,0,1.8,aveyron-manger-vrai,8.3,2.0,11,sous 30
it-68-l,13,2,0,2.0,villani,76.9,,3,sous 30
fr-03-315-001,31,13,4,2.0,leader-price,32.3,2.0,21,franchie
fr-07-110-002,28,12,0,2.0,debroas,10.7,2.0,25,sous 30
fr-04-112-004,10,3,0,2.0,sechoir-des-alpes,40.0,,6,sous 30
fr-68-166-001,25,4,0,2.0,tempe,72.0,,7,sous 30
fr-67-008-002,21,9,0,2.0,iller,42.9,2.5,12,sous 30
fr-67-348-009,29,1,0,2.0,thierry-schweitzer,41.4,,0,sous 30
fr-01-249-003,90,29,4,2.0,u,22.2,1.5,70,franchie
fr-74-007-002,11,0,0,2.0,,100.0,,0,sous 30
fr-73-215-001,63,7,0,2.0,galibier,41.3,1.0,37,franchie
fr-71-157-028,21,12,0,2.0,carrefour,19.0,2.0,17,sous 30
fr-72-181-005,55,4,0,2.0,charcuterie-cosme,80.0,1.0,11,franchie
