rang,rang_min,rang_max,marque,n,ecart_median,ic95_bas,ic95_haut,regle_30,strates_couvertes,gamme_halal,profil
300,170,373,justin-bridou,59,2.0,2.0,2.0,franchie,7,non,hors bras halal
301,107,382,eco,92,2.0,1.0,3.0,franchie,25,non,hors bras halal
302,22,397,espuna,68,2.0,-1.0,12.0,franchie,11,non,hors bras halal
303,107,391,terre-de-l-alpe,19,2.0,1.0,6.0,sous 30,8,non,hors bras halal
304,107,382,porcidou,16,2.0,1.0,3.0,sous 30,4,non,hors bras halal
305,46,385,gourmets-de-l-artois,40,2.0,0.0,4.5,franchie,8,non,hors bras halal
306,107,373,galibier,55,2.0,1.0,2.0,franchie,5,non,hors bras halal
307,22,385,guyader,65,2.0,-1.0,4.0,franchie,11,non,hors bras halal
308,107,391,gueze,37,2.0,1.0,7.0,franchie,10,non,hors bras halal
309,46,382,saveurs-des-mauges,71,2.0,0.0,3.0,franchie,14,non,hors bras halal
310,46,382,clos-saint-sozy,43,2.0,0.0,3.0,franchie,9,non,hors bras halal
311,107,382,charcuterie-cosme,50,2.0,1.0,3.0,franchie,12,non,hors bras halal
312,46,385,dia,81,2.0,0.0,4.0,franchie,24,non,hors bras halal
313,107,382,stephan,87,2.0,1.0,3.0,franchie,15,non,hors bras halal
314,22,394,simpl,19,2.0,-1.0,8.0,sous 30,12,non,hors bras halal
315,46,390,saveur-des-mauges,23,2.0,0.0,5.0,sous 30,9,non,hors bras halal
316,107,385,sodebo,81,2.0,1.0,4.0,franchie,8,non,hors bras halal
317,46,382,fleurons-de-lomagne,49,2.0,0.0,3.0,franchie,10,non,hors bras halal
318,163,382,iller,40,2.0,1.5,3.0,franchie,7,non,hors bras halal
319,101,390,grand-frais,28,2.0,0.5,5.0,sous 30,13,non,hors bras halal
320,22,382,festein-d-alsace,23,2.0,-1.0,3.0,sous 30,7,non,hors bras halal
321,46,395,volailles-champenoises,64,2.5,0.0,10.0,franchie,8,non,hors bras halal
322,46,385,fe-p-c,18,2.5,0.0,4.5,sous 30,8,non,hors bras halal
323,46,390,pouce,32,2.5,0.0,5.5,franchie,13,non,hors bras halal
324,107,382,secrets-du-val-d-argent,26,2.5,1.0,3.0,sous 30,6,non,hors bras halal
325,46,385,lustucru,16,2.5,0.0,4.0,sous 30,5,non,hors bras halal
326,46,382,u-saveurs,70,2.5,0.0,3.0,franchie,6,non,hors bras halal
327,170,390,jean-louis-amiotte,15,3.0,2.0,5.0,sous 30,4,non,hors bras halal
328,107,391,l-assiette-d-antoine,53,3.0,1.0,6.0,franchie,14,non,hors bras halal
329,107,390,thierry-schweitzer,30,3.0,1.0,5.0,franchie,7,non,hors bras halal
330,107,385,nos-regions-ont-du-talent,51,3.0,1.0,4.0,franchie,14,non,hors bras halal
331,170,394,lafitte,20,3.0,2.0,8.0,sous 30,9,non,hors bras halal
332,107,395,bien-vu,23,3.0,1.0,10.0,sous 30,15,non,hors bras halal
333,107,391,charles-antona,18,3.0,1.0,6.0,sous 30,9,non,hors bras halal
334,231,385,stemmelen,35,3.0,3.0,4.0,franchie,6,non,hors bras halal
335,107,385,domaine-de-gammareix,16,3.0,1.0,4.0,sous 30,6,non,hors bras halal
336,163,397,hoa-nam,18,3.0,1.5,12.0,sous 30,8,non,hors bras halal
