etablissement,n_produits,n_marques,n_halal,n_temoin
de-ev-3,10,10,0,10
fr-65-286-002,11,10,1,10
de-ni-10045,17,10,0,17
fr-22-272-028,73,10,0,74
fr-29-225-001,142,10,0,143
fr-72-264-003,53,10,0,53
fr-81-083-001,27,10,0,27
fr-76-159-001,31,10,0,31
fr-79-246-002,41,10,0,41
de-rp-03001,124,10,0,126
it-1907-l,48,10,0,48
fr-01-053-015,35,10,0,35
fr-89-069-001,39,10,5,35
fr-11-076-009,74,10,0,74
fr-47-091-011,47,10,0,51
fr-14-167-021,20,10,1,20
fr-45-147-004,43,10,0,43
fr-67-008-002,21,9,0,21
fr-14-069-022,13,9,0,13
de-nw-20028,15,9,0,15
lu-12,13,9,2,11
fr-71-056-001,41,9,0,41
fr-85-084-001,81,9,0,81
fr-84-054-001,24,9,4,20
fr-85-215-001,113,9,0,113
fr-61-096-018,36,9,13,23
es-10-13604-ge,15,9,0,15
fr-25-039-050,13,9,0,13
fr-22-388-001,45,9,0,45
fr-35-297-003,74,9,0,74
es-10-01934-ge,15,9,0,15
fr-21-231-005,18,9,0,19
de-nw-20158,11,8,0,11
fr-56-017-001,44,8,0,45
fr-13-083-001,33,8,0,33
fr-53-130-001,15,8,3,12
fr-56-091-002,21,8,0,21
be-b255,11,8,0,12
fr-60-463-013,13,8,0,13
fr-56-033-008,34,8,0,34
fr-42-170-001,12,8,0,12
fr-29-236-010,24,8,1,25
fr-38-341-005,43,8,0,43
it-h5h5g,33,8,0,33
fr-56-174-003,10,8,1,9
fr-28-280-028,10,8,1,9
fr-41-238-001,46,8,5,41
fr-79-179-002,29,8,0,29
fr-56-109-001,46,8,0,46
fr-70-093-001,30,8,1,29
fr-69-270-001,14,8,0,14
fr-64-510-003,29,8,0,29
fr-07-338-001,14,8,0,15
fr-43-262-002,15,8,0,16
fr-29-046-514,20,8,0,20
fr-40-261-001,31,8,0,34
fr-65-304-002,51,8,0,51
fr-67-482-004,19,8,0,19
fr-67-348-008,47,8,0,47
fr-12-195-007,25,8,0,25
it-n5u7e,17,7,0,21
it-n3a5j,12,7,0,12
fr-41-106-001,15,7,0,15
