etablissement,nom,commune,departement,n,n_marques,n_halal,ecart_median,sel_median,marque_dominante,part_dominante_pct,n_sans_dominante,ecart_sans_dominante,nom_ambigu
fr-56-033-008,CHARCUTERIE ARTISANALE DU PAYS GALLO,CARENTOIR,56,34,9,0,1.0,1.8,bonval,50.0,17,2.0,False
fr-62-907-002,GOURMETS DE L ARTOIS,LIBERCOURT,62,45,5,0,1.0,3.6,gourmets-de-l-artois,57.8,19,1.0,False
fr-65-375-001,CONSERVERIE DU SUD,RABASTENS-DE-BIGORRE,65,50,22,0,1.0,1.49,jean-brunet,24.0,38,1.0,False
fr-67-348-002,STOEFFLER,OBERNAI,67,88,20,0,1.0,1.9,stoeffler,59.1,36,1.5,False
fr-69-027-063,SODELY,BRIGNAIS,69,51,4,0,1.0,1.9,inconnue,52.9,24,1.0,False
fr-71-076-001,SALAISONS CHAMBADE,CHALON-SUR-SAONE,71,34,8,0,1.0,1.8,inconnue,64.7,12,1.0,False
fr-71-350-001,SALAISONS DU MACONNAIS,PIERRECLOS,71,43,18,0,1.0,4.8,salaisons-du-maconnais,30.2,30,1.0,False
fr-72-090-007,PRUNIER,CONNERRE,72,43,6,0,1.0,1.5,maison-prunier,53.5,20,1.0,False
fr-72-132-002,PRESTIGE DE LA SARTHE,LA FERTE-BERNARD,72,33,8,0,1.0,1.4,carrefour,51.5,16,1.0,False
fr-72-264-002,LDC SABLE,SABLE-SUR-SARTHE,72,719,45,0,1.0,1.3,le-gaulois,56.9,310,1.0,False
fr-73-215-001,HENRI RAFFIN,VALGELON-LA ROCHETTE,73,63,8,0,1.0,4.5,galibier,41.3,37,0.0,False
fr-76-159-001,CANY PRODUCTS,CANY-BARVILLE,76,31,10,0,1.0,4.88,roches-blanches,45.2,17,1.0,False
fr-79-329-004,LOEUL-PIRIOT,THOUARS,79,91,5,0,1.0,0.8,loeul-et-piriot,81.3,17,-2.0,False
fr-81-124-012,MAISON MILHAU,LACAUNE,81,44,7,0,1.0,4.45,maison-milhau,75.0,11,2.0,False
fr-85-065-001,ARRIVE,CHAVAGNES-EN-PAILLERS,85,62,15,0,1.0,1.15,maitre-coq,48.4,32,0.0,False
fr-85-233-001,ARRIVE,SAINT-JEAN-DE-BEUGNE,85,47,19,0,1.0,1.2,maitre-coq,42.6,27,1.0,False
fr-87-001-001,CONSERVERIE DES TUILIERES ARNAUD,AIXE-SUR-VIENNE,87,61,23,0,1.0,1.5,arnaud,24.6,46,0.0,False
fr-03-315-001,SOCOPA VIANDES,VILLEFRANCHE-D'ALLIER,3,31,13,4,2.0,0.71,leader-price,32.3,21,2.0,False
fr-22-272-028,GUYADER TERROIR ET CREATION,SAINT-AGATHON,22,74,11,0,2.0,1.5,inconnue,25.7,55,1.0,False
fr-42-129-001,AOSTE SNC OU A SNC,MACLAS,42,53,21,0,2.0,4.6,justin-bridou,15.1,45,2.0,False
fr-43-211-009,SALAISONS DU LIGNON,SAINT-MAURICE-DE-LIGNON,43,55,13,0,2.0,4.8,monique-ranou,34.5,36,3.5,False
fr-44-180-004,SOCIETE AUBRET,SAINT-MARS-LA-JAILLE,44,170,36,0,2.0,2.3,auchan,21.2,134,2.0,False
fr-56-246-008,SALAISONS CELTIQUES,LE SOURN,56,156,16,0,2.0,1.7,inconnue,57.7,66,0.0,False
fr-59-527-001,non apparie au registre,,59,34,12,0,2.0,1.9,jean-caby,50.0,17,2.0,False
fr-61-169-002,CHARAL,FLERS,61,40,4,1,2.0,1.01,charal,90.0,4,,False
